kosher_date,href,post_title,business_type,wrap_address,wrap_congregation,wrap_phone
1727827200,https://rabanut.co.il/business/%d7%90%d7%9e%d7%a1%d7%98%d7%a8%d7%93%d7%9d-%d7%a4%d7%a8%d7%99%d7%99%d7%96/,אמסטרדם פרייז,מפעל,יגיע כפיים 1,,
1727827200,https://rabanut.co.il/business/%d7%90%d7%a0%d7%a1%d7%98%d7%a1%d7%99%d7%94/,אנסטסיה,קונדטוריה,יד חרוצים 15,,
1727827200,https://rabanut.co.il/business/%d7%90%d7%a0%d7%a8%d7%92%d7%95%d7%a1%d7%a8/,אנרג'וסר,חנות מיצים,בן יהודה 43,,
1727827200,https://rabanut.co.il/business/%d7%90%d7%a1%d7%95%d7%aa%d7%90/,אסותא,בית חולים,הברזל 20,,
1727827200,https://rabanut.co.il/business/%d7%90%d7%a1%d7%98%d7%a8%d7%95/,אסטרו,בר אקטיבי,"הש""ך 5",,
1727827200,https://rabanut.co.il/business/%d7%90%d7%a1%d7%99-%d7%95%d7%a2%d7%93%d7%a0%d7%9f/,אסי ועדנן,מסעדה,רבי מאיר 21,,
1727827200,https://rabanut.co.il/business/%d7%90%d7%a1%d7%99%d7%94-%d7%a1%d7%a0%d7%98%d7%a8/,אסיה סנטר,מסעדה בשרית,מסילת ישרים 41,,
1727827200,https://rabanut.co.il/business/%d7%90%d7%a1%d7%99%d7%9e%d7%99-asimi/,אסימי Asimi,מסעדה חלבית,הירקון 83,,
1727827200,https://rabanut.co.il/business/%d7%90%d7%a6%d7%94-%d7%aa%d7%9c-%d7%90%d7%91%d7%99%d7%91/,אצה תל אביב,מסעדה אסיתית,בן יהודה 128,,
1727827200,https://rabanut.co.il/business/%d7%90%d7%a6%d7%9c-%d7%9e%d7%99%d7%a7%d7%99/,אצל מיקי,מסעדה בשרית,ראול ולנברג 24,,
1727827200,https://rabanut.co.il/business/%d7%90%d7%a7%d7%93%d7%9e%d7%99%d7%94-%d7%9c%d7%a4%d7%99%d7%a8%d7%95%d7%aa/,אקדמיה לפירות,מפעל,בן צבי 104,,
1727827200,https://rabanut.co.il/business/%d7%90%d7%a7%d7%95/,אקו,מזנון בשרי/חלבי,אוניברסיטת תל אביב,,
1727827200,https://rabanut.co.il/business/%d7%90%d7%a7%d7%95%d7%99-%d7%9e%d7%98%d7%91%d7%97-%d7%99%d7%a4%d7%a0%d7%99-akoi-japanese-kitchen/,אקוי מטבח יפני Akoi Japanese kitchen,מסעדה אסיתית,מנחם בגין 144,,
1727827200,https://rabanut.co.il/business/%d7%90%d7%a7%d7%95%d7%a1%d7%98%d7%94/,אקוסטה,אולם אירועים,אוריאל אקוסטה 7,,
1727827200,https://rabanut.co.il/business/%d7%90%d7%a7%d7%a1%d7%98%d7%a8%d7%94-%d7%9e%d7%a8%d7%a7%d7%98/,אקסטרה מרקט,מרכול,קרליבך 8,,
1727827200,https://rabanut.co.il/business/%d7%90%d7%a7%d7%a1%d7%a4%d7%a8%d7%a1/,אקספרס,מזנון בשרי/חלבי,שאול המלך 39,,
1727827200,https://rabanut.co.il/business/%d7%90%d7%a8%d7%93-%d7%94%d7%a8%d7%a6%d7%9c-%d7%91%d7%a2%d7%9e-%d7%a1%d7%a0%d7%93%d7%95%d7%95%d7%99%d7%a5-%d7%90%d7%a8%d7%93/,"ארד הרצל בע""מ סנדוויץ ארד",מזנון בשרי/חלבי,קיבוץ גלויות 73,,
1727827200,https://rabanut.co.il/business/%d7%90%d7%a8%d7%95%d7%9e%d7%94-%d7%a1%d7%a0%d7%99%d7%a3-%d7%a7%d7%a0%d7%99%d7%95%d7%9f-%d7%a8%d7%9e%d7%aa-%d7%90%d7%91%d7%99%d7%91/,ארומה  סניף קניון רמת אביב,מזנון חלבי,קניון רמת אביב,,
1727827200,https://rabanut.co.il/business/%d7%90%d7%a8%d7%95%d7%9e%d7%94-%d7%90%d7%a1%d7%95%d7%aa%d7%90/,ארומה אסותא,בית קפה,הברזל 14,,
1727827200,https://rabanut.co.il/business/%d7%90%d7%a8%d7%95%d7%9e%d7%94-%d7%a1%d7%a0%d7%99%d7%a3-%d7%91%d7%99%d7%aa-%d7%94%d7%aa%d7%a4%d7%95%d7%a6%d7%95%d7%aa/,ארומה סניף בית התפוצות,בית קפה,אוניברסיטת תל אביב,,
1727827200,https://rabanut.co.il/business/%d7%90%d7%a8%d7%95%d7%9e%d7%94-%d7%a1%d7%a0%d7%99%d7%a3-%d7%91%d7%9f-%d7%99%d7%94%d7%95%d7%93%d7%94/,ארומה סניף בן יהודה,בית קפה,בן יהודה 21,,
1727827200,https://rabanut.co.il/business/%d7%90%d7%a8%d7%95%d7%9e%d7%94-%d7%a1%d7%a0%d7%99%d7%a3-%d7%92%d7%95%d7%a8%d7%92-%d7%95%d7%99%d7%99%d7%96/,ארומה סניף ג'ורג' וייז,מסעדה בשרי/חלבי,ג'ורג' וייז 20,,
